bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1074,114,s1074-114,s,https://api.propublica.org/congress/v1/114/bills/s1074.json,National Scenic Trails Parity Act,Sen.,B001230,Tammy Baldwin,WI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1074,https://www.govtrack.us/congress/bills/114/s1074,2015-04-23,False,,,,,9,8,1,Senate Energy and Natural Resources Committee,['SSEG'],Public Lands and Natural Resources
s1075,114,s1075-114,s,https://api.propublica.org/congress/v1/114/bills/s1075.json,FIT Kids Act,Sen.,G000555,Kirsten E. Gillibrand,NY,D,https://www.congress.gov/bill/114th-congress/senate-bill/1075,https://www.govtrack.us/congress/bills/114/s1075,2015-04-23,False,,,,,0,,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1076,114,s1076-114,s,https://api.propublica.org/congress/v1/114/bills/s1076.json,Smartphone Theft Prevention Act of 2015,Sen.,K000367,Amy Klobuchar,MN,D,https://www.congress.gov/bill/114th-congress/senate-bill/1076,https://www.govtrack.us/congress/bills/114/s1076,2015-04-23,False,,,,,3,3,,"Senate Commerce, Science, and Transportation Committee",['SSCM'],"Science, Technology, Communications"
s1077,114,s1077-114,s,https://api.propublica.org/congress/v1/114/bills/s1077.json,Advancing Breakthrough Devices for Patients Act of 2016,Sen.,B001135,Richard M. Burr,NC,R,https://www.congress.gov/bill/114th-congress/senate-bill/1077,https://www.govtrack.us/congress/bills/114/s1077,2015-04-23,True,,,,,3,2,1,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Health
s1078,114,s1078-114,s,https://api.propublica.org/congress/v1/114/bills/s1078.json,Healthy Kids Outdoors Act of 2015,Sen.,H001046,Martin Heinrich,NM,D,https://www.congress.gov/bill/114th-congress/senate-bill/1078,https://www.govtrack.us/congress/bills/114/s1078,2015-04-23,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Public Lands and Natural Resources
s1079,114,s1079-114,s,https://api.propublica.org/congress/v1/114/bills/s1079.json,SCREEN Act of 2015,Sen.,C000141,Benjamin L. Cardin,MD,D,https://www.congress.gov/bill/114th-congress/senate-bill/1079,https://www.govtrack.us/congress/bills/114/s1079,2015-04-23,False,,,,,1,,1,Senate Finance Committee,['SSFI'],Health
s1080,114,s1080-114,s,https://api.propublica.org/congress/v1/114/bills/s1080.json,Protect Marriage from the Courts Act of 2015,Sen.,C001098,Ted Cruz,TX,R,https://www.congress.gov/bill/114th-congress/senate-bill/1080,https://www.govtrack.us/congress/bills/114/s1080,2015-04-23,False,,,,,0,,,Senate Judiciary Committee,['SSJU'],Law
s1081,114,s1081-114,s,https://api.propublica.org/congress/v1/114/bills/s1081.json,Refuge from Cruel Trapping Act,Sen.,B001288,Cory Booker,NJ,D,https://www.congress.gov/bill/114th-congress/senate-bill/1081,https://www.govtrack.us/congress/bills/114/s1081,2015-04-23,False,,,,,9,9,,Senate Environment and Public Works Committee,['SSEV'],Public Lands and Natural Resources
s1082,114,s1082-114,s,https://api.propublica.org/congress/v1/114/bills/s1082.json,Department of Veterans Affairs Accountability Act of 2015,Sen.,R000595,Marco Rubio,FL,R,https://www.congress.gov/bill/114th-congress/senate-bill/1082,https://www.govtrack.us/congress/bills/114/s1082,2015-04-23,True,,,,,21,,21,Senate Veterans' Affairs Committee,['SSVA'],Armed Forces and National Security
s1083,114,s1083-114,s,https://api.propublica.org/congress/v1/114/bills/s1083.json,Medicare Drug Savings Act of 2015,Sen.,N000032,Bill Nelson,FL,D,https://www.congress.gov/bill/114th-congress/senate-bill/1083,https://www.govtrack.us/congress/bills/114/s1083,2015-04-23,False,,,,,17,15,,Senate Finance Committee,['SSFI'],Health
